giniIndex,percentHsEdu,percentBachelorsEdu,medianHouseholdIncome,ueRate,uninsuredRate,medianAge
0.4447,87.699997,47.799999,78839,3.5691581,2.7,41.900002
0.44229999,94.400002,55,93434,3.6675255,0.89999998,40.5
0.4091,94.300003,44.799999,90320,4.0466447,2,44.400002
0.40880001,94.099998,41.5,88993,5.9925833,1.3,41.900002
0.44139999,95.599998,61.799999,126000,3.9096498,1.1,38.700001
0.4016,94.199997,38.400002,81040,7.1838446,3.3,39.200001
0.46790001,91,30,58674,8.2851191,3.7,41.700001
0.3899,94.199997,37.400002,85053,5.9707394,2.0999999,42
0.3802,94,37.200001,73948,7.1310458,1.5,47.200001
0.56709999,99.099998,89.300003,82238,4.8850574,6.9000001,44.099998
0.1674,100,51.900002,,,0,
0.4172,100,85.599998,170152,3.7091265,1.2,36.400002
0.60829997,95.400002,80,43403,8.6163797,4.1999998,21.5
0.45609999,79.099998,17.799999,47724,9.8540726,4.3000002,35.099998
0.40459999,85.199997,17.200001,63718,9.5547161,2.9000001,36.599998
0.38640001,86.699997,26.1,69709,4.1618938,5.4000001,43.599998
0.43740001,92.800003,33.400002,88640,6.9420757,1.5,35
0.4059,89.599998,19.9,73904,4.9694433,2.7,47.200001
0.42930001,98.900002,68.599998,123613,5.0677032,1.4,45.5
0.37639999,95.800003,28.799999,86568,5.4497619,1.8,39.799999
0.37940001,95.199997,27.299999,77993,5.8030863,9.3000002,42.5
0.43439999,96.400002,46.099998,111311,6.331471,0.80000001,42.400002
0.3459,94.099998,31.799999,96389,4.0317459,1.7,44.700001
0.39989999,95.800003,28.299999,67589,5.0958714,2.5999999,46.099998
0.3942,95.199997,29.4,79811,5.3931565,2.2,44
0.3978,94,35.700001,97990,3.0007734,2.9000001,45
0.3811,94.599998,33.900002,91643,6.0973148,2.0999999,40.5
0.40560001,97.400002,52.400002,113783,4.0566039,0.60000002,41.299999
0.1079,94.900002,76.900002,,6.9579287,3.3,19.9
0.3504,95.5,38.400002,101447,4.3191195,2.2,42.5
0.42829999,95.5,36,83746,4.9979734,3.4000001,45.5
0.38510001,95,43.700001,89796,5.0245767,1.5,43.400002
,73.400002,6.9000001,,,,43.099998
0.39919999,94.900002,32.200001,87438,5.109961,1.6,44.5
0.43799999,85.400002,28.700001,70163,10.459067,3.5,41.700001
